Name,Mass (MJ),Radius (RJ),Distance (ly)
Kepler-495b,0.467,3.41303622,
Kepler-496b,0.207,8.30864937,
Kepler-497b,0.539,3.57320367,
Kepler-498b,0.27,9.61375356,
Kepler-499b,0.194,5.63252845,
Kepler-500b,0.23,8.5083244,
Kepler-501b,0.384,5.64067757,
Kepler-502b,0.426,4.28686431,
Kepler-504b,0.142,9.54927542,
Kepler-505b,0.232,27.52197994,
Kepler-506b,0.244,6.8834055,
Kepler-507b,0.116,3.56809693,
Kepler-508b,0.146,25.30889748,
Kepler-509b,0.222,41.74600392,
Kepler-510b,0.22,19.55659418,
Kepler-511b,0.567,296.637865,
Kepler-512b,0.24,34.43587975,
Kepler-513b,0.196,28.86235584,
Kepler-514b,0.153,5.65179605,
Kepler-515b,0.13,19.96371318,
Kepler-516b,0.512,24.85462415,
Kepler-517b,0.238,60.92832271,
Kepler-518b,0.188,8.51203588,
Kepler-519b,0.187,24.3078946,
Kepler-520b,0.148,19.67416124,
Kepler-520c,0.095,5.21104261,
Kepler-521b,0.284,22.20813214,
Kepler-522b,0.616,38.58422849,
Kepler-523b,0.175,5.83598311,
Kepler-524b,0.17,7.97419807,
Kepler-524c,0.086,1.88897906,
Kepler-525b,0.235,18.68404933,
Kepler-526b,0.178,5.45849832,
Kepler-527b,0.253,13.28535633,
Kepler-528b,0.186,19.78297415,
Kepler-529b,0.166,1.98035766,
Kepler-529c,0.178,12.8345022,
Kepler-530b,0.269,39.30941904,
Kepler-531b,0.248,29.88485741,
Kepler-532b,0.229,12.92491623,
Kepler-533b,0.302,28.51120525,
Kepler-534b,0.2,15.95994513,
Kepler-535b,0.211,4.90332155,
Kepler-536b,0.277,1.8270823,
Kepler-537b,0.126,3.24755522,
Kepler-538b,0.202,81.73780699,
Kepler-539b,0.97,0.747,1.05
Kepler-539c,2.4,1000,
Kepler-540b,0.242,172.7049784,
Kepler-541b,0.3,5.08005848,
Kepler-542b,0.14,13.14497566,
Kepler-543b,0.223,13.89961966,
Kepler-544b,0.189,21.41616926,
Kepler-545b,0.24,13.24934059,
Kepler-546b,0.624,4.14702026,
Kepler-547b,0.357,6.01038429,
Kepler-548b,1.07,4.45419434,
Kepler-549b,0.229,42.9495649,
Kepler-549c,0.261,117.040498,
Kepler-550b,0.394,8.60010411,
Kepler-551b,0.244,12.3764661,
Kepler-552b,0.352,5.26341577,
Kepler-553b,0.413,4.03046804,
Kepler-553c,0.999,328.2399546,
Kepler-554b,0.383,1.90220856,
Kepler-555b,0.252,16.21775407,
Kepler-556b,0.2,11.72292176,
Kepler-557b,0.238,3.70598955,
Kepler-558b,0.211,29.00790538,
Kepler-559b,0.322,17.58752333,
Kepler-560b,0.153,18.47764449,
Kepler-561b,0.621,58.3620495,
Kepler-561c,0.239,5.35016198,
Kepler-562b,0.465,18.00931444,
Kepler-563b,0.276,22.18432708,
Kepler-564b,0.413,3.75083228,
Kepler-565b,0.325,4.24374723,
Kepler-566b,0.192,18.42794624,
Kepler-567b,0.201,16.54297375,
Kepler-568b,0.202,11.02347475,
Kepler-569b,0.282,34.18890521,
Kepler-570b,0.219,4.301662,
Kepler-571b,0.236,4.79859939,
Kepler-572b,0.23,17.20523483,
Kepler-573b,0.249,22.18329658,
Kepler-574b,0.213,7.65880414,
Kepler-575b,0.213,9.37891944,
Kepler-576b,0.292,29.91136794,
Kepler-577b,0.227,25.69578251,
Kepler-578b,0.178,1.6168837,
Kepler-579b,0.178,9.66857723,
Kepler-580b,0.229,8.22241966,
Kepler-581b,0.235,40.6069821,
Kepler-582b,0.328,18.49235668,
Kepler-583b,0.203,6.5100253,
Kepler-584b,0.376,35.1810304,
Kepler-585b,0.252,2.75235975,
Kepler-586b,0.249,2.10472218,
Kepler-587b,0.199,10.94027841,
Kepler-588b,0.235,4.22162536,
Kepler-589b,0.203,16.54964934,
Kepler-590b,0.359,5.85296257,
Kepler-591b,0.302,81.1694299,
Kepler-592b,0.213,2.82019241,
Kepler-593b,0.256,21.21708973,
Kepler-594b,0.194,13.64618192,
Kepler-595b,0.34,25.30292332,
Kepler-596b,0.309,21.30022655,
Kepler-597b,0.211,13.02365861,
Kepler-598b,0.134,3.70175428,
Kepler-599b,0.253,15.65562652,
Kepler-600b,0.259,23.67517607,
Kepler-601b,0.17,5.37886844,
Kepler-602b,0.186,15.28469497,
Kepler-603b,0.236,21.05358596,
Kepler-603c,0.58,127.9075774,
Kepler-603d,0.118,6.2171292,
Kepler-604b,0.231,25.85501786,
Kepler-605b,0.128,3.38353807,
Kepler-605c,0.077,2.35895152,
