Name,Mass (MJ),Radius (RJ),Distance (ly)
Kepler-1636b,0.288,425.47785,
Kepler-1637b,0.079,6.10960324,
Kepler-1638b,0.167,259.33683,
Kepler-1639b,0.23,9.878482,
Kepler-1640b,0.43,7.5844126,
Kepler-1641b,0.277,19.672266,
Kepler-1641c,0.263,32.657212,
Kepler-1642b,0.285,12.2057513,
Kepler-1642c,0.237,6.6513802,
Kepler-1643b,0.205,5.34264507,
Kepler-1644b,0.168,21.0907758,
Kepler-1645b,0.159,16.1779561,
Kepler-1646b,0.11,4.48558383,
Kepler-1647b,1.51968,1.059,
KOI-847 c,0.5,1106.243,
OGLE-2007-BLG-349(AB)c,0.25171,2557,
OGLE-2012-BLG-0724Lb,0.47,1.6,
OGLE-2014-BLG-0676Lb,3.09,4.4,
OGLE-2015-BLG-0051Lb [id],0.72,0.73,
OGLE-2015-BLG-0954Lb,3.9,1.2,
OGLE-2012-BLG-0950Lb,0.11012,2.7,
OGLE-2014-BLG-1760Lb [id],0.56,1.75,
Pr0211 c,7.79,4850,
Proxima Centauri b,0.004,11.186,
Rho Coronae Borealis c,0.07866,102.54,0.89
TRAPPIST-1b,0.00267,0.097,39
TRAPPIST-1c,0.00434,0.094,39
TRAPPIST-1d,0.00129,0.069,39
TYC 3667-1280-1 b,5.4,26.468,1.87
V830 Tauri b,0.7,4.927,
WASP-92b,0.805,1.461,1700
WASP-93b,1.47,1.597,1.33
WASP-113b,0.475,1.409,1200
WASP-114b,1.769,1.339,1500
WASP-118b,0.514,1.44,1.32
WASP-119b,1.23,1.4,1090
WASP-124b,0.6,1.24,1410
WASP-126b,0.28,0.96,760
WASP-127b,0.18,1.37,1.08
WASP-129b,1,0.93,800
WASP-130b,1.23,0.89,590
WASP-131b,0.27,1.22,820
WASP-132b,0.41,0.87,390
WASP-133b,1.16,1.21,1780
WASP-136b,1.51,1.38,1.41
WASP-138b,1.22,1.09,1.22
WASP-139b,0.117,0.8,750
WASP-140b,2.44,1.44,590
WASP-141b,2.69,1.21,1900
WASP-142b,0.84,1.53,2700
WASP-157b,0.574,1.065,1.26
XO-6b,4.4,2.07,759.0
YBP 401 b,0.46,4.087,
